                         0	ACT 0 0 0
                         8	ACT 1 0 0
                        16	ACT 2 0 0
                        24	ACT 3 0 0
                        32	ACT 0 1 0
                        40	ACT 1 1 0
                        48	RD  0 0 0
                        50	ACT 2 1 0
                        56	RD  1 0 0
                        58	ACT 3 1 0
                        64	RD  2 0 0
                        66	ACT 0 2 0
                        72	RD  3 0 0
                        74	ACT 1 2 0
                        80	RD  0 1 0
                        82	ACT 2 2 0
                        88	RD  1 1 0
                        90	ACT 3 2 0
                        98	RD  2 1 0
                       100	ACT 0 3 0
                       106	RD  3 1 0
                       108	ACT 1 3 0
                       114	RD  0 2 0
                       116	ACT 2 3 0
                       122	RD  1 2 0
                       124	ACT 3 3 0
                       130	RD  2 2 0
                       138	RD  3 2 0
                       148	RD  0 3 0
                       156	RD  1 3 0
                       164	RD  2 3 0
                       172	RD  3 3 0
