                         0	ACT 0 0 0
                        12	ACT 0 1 0
                        48	RD  0 0 0
                        64	RD  0 0 1
                        80	RD  0 1 1
                        96	RD  0 0 2
                      1000	PRE 0 0
                      1002	ACT 1 0 1
                      1048	ACT 0 0 1
                      1050	RD  1 0 0
                      1066	RD  1 0 0
                      1096	RD  0 0 0
                      2000	PRE 0 0
                      2002	WR  0 1 1
                      2010	WR  1 0 0
                      2026	WR  1 0 0
                      2048	ACT 0 0 0
                      2096	WR  0 0 0
                      2112	WR  0 0 1
                      2128	WR  0 0 2
                      2216	PRE 0 0
                      2264	ACT 0 0 1
                      2312	WR  0 0 0
                      3000	ACT 3 0 1
                      3012	ACT 3 2 1
                      3020	ACT 2 1 1
                      3028	ACT 3 1 1
                      3036	ACT 2 2 1
                      3048	RD  3 0 18
                      3064	RD  3 2 18
                      3072	RD  2 1 18
                      3088	WR  3 1 18
                      3096	WR  2 2 18
